species_lump,latitude,longitude,occurrence
Alaria marginata,26.70548058,-113.5763,0
Alaria marginata,27.17717934,-114.39802,0
Alaria marginata,27.72610092,-114.99477,0
Alaria marginata,29.94898033,-115.81207,0
Alaria marginata,30.47035027,-116.04695,0
Alaria marginata,31.72407913,-116.71423,0
Alaria marginata,32.6658287,-117.24417,0
Alaria marginata,32.66947174,-117.2455,0
Alaria marginata,32.69260025,-117.25327,0
Alaria marginata,32.71913147,-117.25683,0
Alaria marginata,32.80799103,-117.26793,0
Alaria marginata,32.83285141,-117.28231,0
Alaria marginata,32.8432312,-117.2812,0
Alaria marginata,32.871650700000004,-117.25328,0
Alaria marginata,32.99983978,-117.27867,0
Alaria marginata,33.4598999,-117.71475,0
Alaria marginata,33.51335144,-117.75793,0
Alaria marginata,33.54259109,-117.78928,0
Alaria marginata,33.54476929,-117.79941,0
Alaria marginata,33.57078171,-117.83773,0
Alaria marginata,33.70679092,-118.28599,0
Alaria marginata,33.71538925,-118.31961,0
Alaria marginata,33.71974182,-118.32857,0
Alaria marginata,33.73778152,-118.37612,0
Alaria marginata,33.74100876,-118.40947,0
Alaria marginata,33.76805115,-118.42276,0
Alaria marginata,34.01200867,-118.79225,0
Alaria marginata,34.03445816,-118.86179,0
Alaria marginata,34.04322815,-118.937,0
Alaria marginata,34.06069183,-118.98221,0
Alaria marginata,34.06612015,-118.99779,0
Alaria marginata,34.35548019,-119.44073,0
Alaria marginata,34.38703156,-119.51407,0
Alaria marginata,34.40692902,-119.87804,0
Alaria marginata,34.43518829,-119.93078,0
Alaria marginata,34.44257355,-120.45351,0
Alaria marginata,34.4433403,-120.45655,0
Alaria marginata,34.44903564,-120.46446,0
Alaria marginata,34.4671402,-120.27738,0
Alaria marginata,34.46718979,-120.27854,0
Alaria marginata,34.47343826,-120.1454,0
Alaria marginata,34.4946022,-120.4956,0
Alaria marginata,34.55387878,-120.61167,0
Alaria marginata,34.71879959,-120.6088,0
Alaria marginata,34.73038101,-120.61546,0
Alaria marginata,35.1684761,-120.69619,0
Alaria marginata,35.1688118,-120.69668,0
Alaria marginata,35.22690964,-120.87428,0
Alaria marginata,35.28966141,-120.88325,0
Alaria marginata,35.44739151,-120.94982,0
Alaria marginata,35.44949341,-120.9519,0
Alaria marginata,35.52244186,-121.073,0
Alaria marginata,35.60414124,-121.14232,0
Alaria marginata,35.63454819,-121.19562,0
Alaria marginata,35.66492844,-121.28699,1
Alaria marginata,35.72882843,-121.31866,1
Alaria marginata,35.85916901,-121.42233,1
Alaria marginata,35.97964859,-121.49034,0
Alaria marginata,36.01438141,-121.5405,1
Alaria marginata,36.17375946,-121.69653,1
Alaria marginata,36.28060913,-121.86317,0
Alaria marginata,36.46903992,-121.93444,1
Alaria marginata,36.51366043,-121.94688,1
Alaria marginata,36.56087112,-121.94053,1
Alaria marginata,36.60615921,-121.95939,0
Alaria marginata,36.62120056,-121.9073,0
Alaria marginata,36.6222496,-121.94161,0
Alaria marginata,36.63795853,-121.93758,0
Alaria marginata,36.94841003,-122.06457,0
Alaria marginata,36.94915009,-122.10383,0
Alaria marginata,36.94915009,-122.06107,0
Alaria marginata,36.9801712,-122.15503,1
Alaria marginata,37.02207947,-122.21538,0
Alaria marginata,37.04425049,-122.23493,0
Alaria marginata,37.10778046,-122.29444,0
Alaria marginata,37.18360901,-122.39529,0
Alaria marginata,37.5216713,-122.51667,0
Alaria marginata,37.89757919,-122.71071,0
Alaria marginata,37.90354156,-122.72721,0
Alaria marginata,37.99383163,-122.96729,0
Alaria marginata,38.01242828,-122.84915,1
